Property ID,Category,Maintained By,Name,Ward Number,Address,Unique ID
1000220101244,HOSPITAL,PRIVATE,DHIRAVIYARAJ HOSPITAL,22,N.S.R ROAD,1000220400001
1000210100012,BURIAL GROUND,CORPORATION,CORPORATION BURIAL GROUND,21,SUNDAPALAYAM ROAD,1000210400007
1000210100050,HOSPITAL,CORPORATION,CORPORATION DISPENSARY,21,GOKULAM COLONY,1000210400004
1000210100152,MARRIAGE HALL,PRIVATE,RANGAMMAL MANDAPAM,21,GOKULAM COLONY 4,1000210400003
1000210101447,COMMUNITY HALL,CORPORATION,CORPORATION COMMUNITY HALL,21,GOKULAM COLONY 3,1000210400002
1000210100147,PARK,CORPORATION,CORPORATION PARK,21,GOKULAM COLONY 4,1000210400001
1000210100858,MARRIAGE HALL,CORPORATION,CORPORATION MARRIAGE HALL,21,NAICKER THOTTAM,1000210400005
1000210100259,CREMATORIUM,CORPORATION,CREMATORIUM,21,SUNDAPALAYAM ROAD,1000210400006
1000200101223,PARK,CORPORATION,CORPORATION PARK,20,NETHAJI ROAD,1000200400004
1000200101253,HOSPITAL,CORPORATION,COIMBATORE CORPORATION DOG HOSPITAL,20,SUGARCANE ROAD,1000200400003
1000200101194,COMMUNITY HALL,CORPORATION,COMMUNITY HALL,20,DR RADHAKRISHNAN STREET,1000200400002
1000200101371,BURIAL GROUND,CORPORATION,BURIAL GROUND,20,SUGARCANE ROAD,1000200400001
1000230100736,PUBLIC,CENTRAL,POST OFFICE,23,D.B.ROAD,1000230400041
1000230100946,HOSPITAL,PRIVATE,VASAN EYE CARE,23,THIRU.VENKETASAMY ROAD,1000230400039
1000230100469,HOSPITAL,PRIVATE,KUMARAN BIOMEDICAL,23,GOULIBROWN ROAD,1000230400038
1000230100471,HOSPITAL,PRIVATE,KUMARAN HOSPITAL,23,GOULIBROWN ROAD,1000230400037
1000230100620,HOSPITAL,PRIVATE,M R MEDICAL CENTRE,23,GOULIBROWN ROAD,1000230400036
1000230100468,HOSPITAL,PRIVATE,SUDHA HOSPITAL,23,GOULIBROWN ROAD,1000230400035
1000230100486,HOSPITAL,PRIVATE,COIMBATORE MENTAL HOSPITAL,23,GOULIBROWN ROAD,1000230400034
1000230100553,HOSPITAL,PRIVATE,VIJAYA HOSPITAL,23,GOULIBROWN ROAD,1000230400033
1000230100714,HOSPITAL,PRIVATE,BALAJI HOSPITAL,23,GOULIBROWN ROAD,1000230400032
1000230100714,HOSPITAL,PRIVATE,RATHNA MEDICAL CARE,23,GOULIBROWN ROAD,1000230400031
1000230100940,HOSPITAL,PRIVATE,DIVYAKALA CLINIC,23,THIRU.VENKETASAMY ROAD,1000230400030
1000230100640,HOSPITAL,PRIVATE,VIKRAM HOSPITAL,23,VENKATASAMY ROAD,1000230400029
1000230100771,HOSPITAL,PRIVATE,ANBU DIABETIES CARE,23,PONNURANGAM ROAD,1000230400028
1000230100521,HOSPITAL,PRIVATE,HOMEO ZONE,23,PONNURANGAM ROAD,1000230400027
1000230100122,HOSPITAL,PRIVATE,LISTER METROPOLIS DIGNOSTICS,23,SAMBANDAM ROAD,1000230400026
1000230100485,HOSPITAL,PRIVATE,N R HOSPITAL,23,METTUPALAYAM ROAD,1000230400025
1000230100405,HOSPITAL,PRIVATE,LOTUS EYE HOSPITAL,23,PERIYASAMY ROAD,1000230400024
1000230100616,HOSPITAL,PRIVATE,COIMBATORE JOINT FOUNDATION,23,METTUPALAYAM ROAD,1000230400023
1000230100709,HOSPITAL,PRIVATE,RAMAKRISHNA MEDICAL CENTRE,23,GOULIBROWN ROAD,1000230400022
1000230100709,HOSPITAL,PRIVATE,NATARAJ MEDICARE,23,METTUPALAYAM ROAD,1000230400021
1000230100431,HOSPITAL,PRIVATE,MANONMANIYAM HOSPITAL,23,GOULIBROWN ROAD,1000230400020
1000230100480,HOSPITAL,PRIVATE,SITA LAKSHMI HOSPITAL,23,GOULIBROWN ROAD,1000230400019
1000230100409,HOSPITAL,PRIVATE,VEGA ENT HOSPITAL,23,GURUGOVINDASINGH ROAD,1000230400018
1000230100787,HOSPITAL,PRIVATE,PRADEEPA HOSPITAL,23,GOULIBROWN ROAD,1000230400017
1000230100621,HOSPITAL,PRIVATE,APPOLLO MEDICAL CARE CENTRE,23,GOULIBROWN ROAD,1000230400016
